timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,1,25.3878,0,0.0,False,,,0.0
20,1i,150.0,3,16.8248,0,0.0,False,,,0.0
25,1i,150.0,3,9.1784,1,1.0,False,,,0.006666666666666667
30,1i,150.0,4,6.0016,1,1.0,False,1.0,6.0016,0.006666666666666667
35,1i,150.0,4,3.5702,3,1.0,False,1.0,3.5702,0.006666666666666667
40,1i,150.0,4,0.1864,3,1.0,False,1.0,0.1864,0.006666666666666667
45,1i,150.0,5,4.7283,4,15.04,False,15.04,-20.659499999999998,0.10026666666666666
50,1i,150.0,3,5.3343,1,1.0,False,1.0,-11.4905,0.006666666666666667
55,1i,150.0,2,4.4761,1,1.0,False,0.0,-4.7023,0.006666666666666667
60,1i,150.0,2,12.0312,1,1.0,False,0.0,6.0296,0.006666666666666667
65,1i,150.0,4,11.8016,1,1.0,False,0.0,8.2314,0.006666666666666667
70,1i,150.0,4,7.8464,2,13.77,False,12.77,7.66,0.09179999999999999
75,1i,150.0,4,6.5333,2,13.71,False,-1.3299999999999983,1.8049999999999997,0.09140000000000001
80,1i,150.0,3,5.5515,1,1.0,False,0.0,0.21720000000000006,0.006666666666666667
85,1i,150.0,2,0.0629,1,1.0,False,0.0,-4.4132,0.006666666666666667
90,1i,150.0,3,8.2849,2,1.0,False,0.0,-3.7462999999999997,0.006666666666666667
95,1i,150.0,3,3.8461,2,1.0,False,0.0,-7.955500000000001,0.006666666666666667
100,1i,150.0,3,0.0215,3,5.05,False,-8.719999999999999,-7.8249,0.033666666666666664
105,1i,150.0,6,12.369,3,5.0,False,-8.71,5.8357,0.03333333333333333
110,1i,150.0,6,6.5007,3,5.0,False,4.0,0.9492000000000003,0.03333333333333333
115,1i,150.0,6,0.2609,4,13.71,False,12.71,0.198,0.09140000000000001
120,1i,150.0,7,3.3511,6,13.71,False,12.71,-4.9338,0.09140000000000001
125,1i,150.0,7,1.616,6,13.71,False,12.71,-2.2300999999999997,0.09140000000000001
130,1i,150.0,7,0.0272,7,16.18,False,11.129999999999999,0.0057,0.10786666666666667
135,1i,150.0,8,2.9268,7,16.0,False,11.0,-9.4422,0.10666666666666667
140,1i,150.0,5,4.3976,1,1.0,False,-4.0,-2.1031000000000004,0.006666666666666667
145,1i,150.0,1,0.0,1,1.0,False,-12.71,-0.2609,0.006666666666666667
150,1i,150.0,3,17.1125,1,1.0,False,-12.71,13.7614,0.006666666666666667
155,1i,150.0,4,11.2633,1,1.0,False,-12.71,9.6473,0.006666666666666667
160,1i,150.0,2,0.7431,1,1.0,False,-15.18,0.7159,0.006666666666666667
165,1i,150.0,2,0.0,2,5.0,False,-11.0,-2.9268,0.03333333333333333
170,1i,150.0,1,16.1773,0,0.0,False,-1.0,11.779699999999998,0.0
175,1i,150.0,1,15.3443,0,0.0,False,-1.0,15.3443,0.0
180,1i,150.0,2,12.2758,0,0.0,False,-1.0,-4.8367,0.0
185,1i,150.0,2,5.4764,1,1.0,False,0.0,-5.786899999999999,0.006666666666666667
190,1i,150.0,2,0.0421,2,15.05,False,14.05,-0.701,0.10033333333333334
195,1i,150.0,5,14.5801,2,15.04,False,10.04,14.5801,0.10026666666666666
200,1i,150.0,5,7.9645,2,15.04,False,15.04,-8.212799999999998,0.10026666666666666
205,1i,150.0,5,0.7383,4,19.06,False,19.06,-14.606,0.12706666666666666
210,1i,150.0,6,3.923,5,19.04,False,19.04,-8.3528,0.12693333333333331
215,1i,150.0,6,2.2113,5,19.04,False,18.04,-3.2651,0.12693333333333331
220,1i,150.0,6,0.0699,5,19.04,False,3.9899999999999984,0.027800000000000005,0.12693333333333331
225,1i,150.0,7,3.1416,6,23.04,False,8.0,-11.4385,0.1536
230,1i,150.0,5,2.9327,2,21.97,False,6.93,-5.0318000000000005,0.14646666666666666
235,1i,150.0,3,3.6045,1,1.0,False,-18.06,2.8662,0.006666666666666667
240,1i,150.0,3,16.2038,1,1.0,False,-18.04,12.280800000000001,0.006666666666666667
