timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_straight_heavy,val,development,0.25,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,1,19.4187,395.85,395.85,scenario_straight_heavy,val,development,0.25,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,1,19.3673,300.29,300.29,scenario_straight_heavy,val,development,0.25,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,1,25.3878,0,0.0,False,1,18.8523,205.04,205.04,scenario_straight_heavy,val,development,0.25,,,0.0,,,0.0,14.0,True,,6.666666666666667,609.3072,,
20,1i,150.0,3,16.8248,0,0.0,False,1,19.1068,109.32,109.32,scenario_straight_heavy,val,development,0.25,,,0.0,,,0.0,19.0,True,,20.0,1211.3856,,
25,1i,150.0,3,9.1784,1,1.0,False,1,13.0337,23.14,23.14,scenario_straight_heavy,val,development,0.25,,,0.006666666666666667,,,0.0,24.0,True,,20.0,660.8448,,
30,1i,150.0,4,6.0016,1,1.0,False,1,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.25,1.0,6.0016,0.006666666666666667,1.0,,1.0,4.0,False,5,26.666666666666668,576.1536,0.03333333333333333,
35,1i,150.0,4,3.5702,3,1.0,False,1,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.25,1.0,3.5702,0.006666666666666667,0.0,-394.85,2.0,2.0,True,,26.666666666666668,342.7392,0.03333333333333333,
40,1i,150.0,4,0.1864,3,1.0,False,1,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.25,1.0,0.1864,0.006666666666666667,0.0,-299.29,3.0,1.0,False,5,26.666666666666668,17.894400000000005,0.03333333333333333,
45,1i,150.0,5,4.7283,4,15.04,False,1,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.25,15.04,-20.659499999999998,0.10026666666666666,0.0,-204.04,3.0,6.0,False,10,33.333333333333336,567.3960000000001,0.5013333333333333,
