timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
0,1i,0,0.0,0.0,0.0,0,0.0,False
0,2i,0,0.0,0.0,0.0,0,0.0,False
0,3i,0,0.0,0.0,0.0,0,0.0,False
0,4i,0,0.0,0.0,0.0,0,0.0,False
5,1i,3,21.8357,6.1868,0.0,0,0.0,False
5,2i,3,26.0824,6.1868,0.0,0,0.0,False
5,3i,3,25.9991,6.1868,0.0,0,0.0,False
5,4i,3,21.7917,6.1868,0.0,0,0.0,False
10,1i,3,21.7914,6.1868,0.0,0,0.0,False
10,2i,3,26.3249,6.1868,0.0,0,0.0,False
10,3i,3,25.4754,6.1868,0.0,0,0.0,False
10,4i,3,21.02,6.1868,0.0,0,0.0,False
15,1i,3,20.8507,6.1868,0.0,0,0.0,False
15,2i,3,25.5834,6.1868,0.0,0,0.0,False
15,3i,3,25.4425,6.1868,0.0,0,0.0,False
15,4i,3,21.2542,6.1868,0.0,0,0.0,False
20,1i,4,18.8302,8.2491,0.0,0,0.0,False
20,2i,4,16.1938,8.2491,0.0,0,0.0,False
20,3i,3,19.0044,6.1868,720.0,0,0.0,False
20,4i,4,18.8651,8.2491,0.0,0,0.0,False
25,1i,4,12.8384,8.2491,0.0,1,1.0,False
25,2i,4,6.3248,8.2491,0.0,2,1.0,False
25,3i,2,14.6542,4.1246,720.0,0,0.0,False
25,4i,3,18.4333,6.1868,720.0,0,0.0,False
30,1i,4,6.0016,8.2491,0.0,1,1.0,False
30,2i,4,6.0855,8.2491,0.0,3,1.0,False
30,3i,2,12.4613,4.1246,0.0,1,1.0,False
30,4i,2,12.0116,4.1246,720.0,0,0.0,False
35,1i,5,7.5378,10.3114,0.0,3,1.0,False
35,2i,5,6.7601,10.3114,0.0,3,1.0,False
35,3i,2,15.132,4.1246,720.0,0,0.0,False
35,4i,2,17.441,4.1246,720.0,0,0.0,False
40,1i,5,4.9624,10.3114,0.0,3,1.0,False
40,2i,5,3.9087,10.3114,0.0,3,1.0,False
40,3i,2,9.9861,4.1246,0.0,0,0.0,False
40,4i,2,10.6192,4.1246,0.0,0,0.0,False
45,1i,5,4.7283,10.3114,0.0,4,15.04,False
45,2i,5,3.6817,10.3114,0.0,4,8.0,False
45,3i,2,9.3947,4.1246,0.0,1,1.0,False
45,4i,2,9.184,4.1246,0.0,1,1.0,False
50,1i,6,13.4308,12.3737,1440.0,1,1.0,False
50,2i,5,19.8952,10.3114,2160.0,1,1.0,False
50,3i,5,18.1999,10.3114,0.0,1,1.0,False
50,4i,5,17.8207,10.3114,0.0,1,1.0,False
55,1i,5,14.8922,10.3114,720.0,1,1.0,False
55,2i,5,19.2583,10.3114,0.0,1,1.0,False
55,3i,5,16.9414,10.3114,0.0,1,1.0,False
55,4i,5,16.0885,10.3114,0.0,1,1.0,False
60,1i,4,15.1851,8.2491,720.0,1,1.0,False
60,2i,4,18.9847,8.2491,720.0,1,1.0,False
60,3i,5,14.5492,10.3114,0.0,1,1.0,False
60,4i,5,14.7577,10.3114,0.0,1,1.0,False
65,1i,5,14.8271,10.3114,0.0,1,1.0,False
65,2i,5,13.9496,10.3114,0.0,1,1.0,False
65,3i,6,9.9629,12.3737,0.0,2,5.0,False
65,4i,6,11.1994,12.3737,0.0,2,8.01,False
70,1i,5,11.7208,10.3114,0.0,2,13.77,False
70,2i,3,9.2617,6.1868,1440.0,2,5.02,False
70,3i,6,5.8461,12.3737,0.0,4,17.72,False
70,4i,6,6.846,12.3737,0.0,3,8.0,False
75,1i,4,6.5333,8.2491,720.0,2,13.71,False
75,2i,3,8.3249,6.1868,0.0,2,5.0,False
75,3i,6,3.187,12.3737,0.0,4,17.71,False
75,4i,6,4.1669,12.3737,0.0,4,20.71,False
80,1i,4,10.995,8.2491,720.0,1,1.0,False
80,2i,2,19.7036,4.1246,1440.0,0,0.0,False
80,3i,7,5.8499,14.436,0.0,5,17.71,False
80,4i,7,5.541,14.436,0.0,5,20.71,False
85,1i,3,9.0125,6.1868,720.0,1,1.0,False
85,2i,2,13.2506,4.1246,0.0,0,0.0,False
85,3i,7,5.1829,14.436,0.0,5,17.71,False
85,4i,7,4.0747,14.436,0.0,5,20.71,False
90,1i,3,8.2849,6.1868,0.0,2,1.0,False
90,2i,2,12.1389,4.1246,0.0,1,1.0,False
90,3i,7,3.642,14.436,0.0,5,17.71,False
90,4i,7,3.2057,14.436,0.0,6,27.71,False
95,1i,6,14.6857,12.3737,0.0,2,1.0,False
95,2i,5,15.7904,10.3114,0.0,1,1.0,False
95,3i,7,13.5772,14.436,2160.0,1,1.0,False
95,4i,7,12.7459,14.436,2160.0,1,1.0,False
100,1i,6,12.9489,12.3737,0.0,3,5.05,False
100,2i,5,13.2841,10.3114,0.0,1,1.0,False
100,3i,5,16.7914,10.3114,1440.0,1,1.0,False
