timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_straight_heavy,val,development,0.5
5,1i,150.0,0,0.0,0,0.0,False,2,18.9325,395.85,399.84,scenario_straight_heavy,val,development,0.5
10,1i,150.0,0,0.0,0,0.0,False,2,18.8047,300.29,305.8,scenario_straight_heavy,val,development,0.5
15,1i,150.0,1,25.3878,0,0.0,False,2,18.5821,205.04,212.86,scenario_straight_heavy,val,development,0.5
20,1i,150.0,3,16.8248,0,0.0,False,2,19.1485,109.32,117.41,scenario_straight_heavy,val,development,0.5
25,1i,150.0,3,9.1784,1,1.0,False,2,13.7676,23.14,29.01,scenario_straight_heavy,val,development,0.5
30,1i,150.0,4,6.0016,1,1.0,False,2,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.5
35,1i,150.0,4,3.5702,3,1.0,False,2,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.5
40,1i,150.0,4,0.1864,3,1.0,False,2,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.5
45,1i,150.0,5,4.7283,4,15.04,False,2,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.5
50,1i,150.0,3,5.3343,1,1.0,False,3,15.282,1.0,398.91,scenario_straight_heavy,val,development,0.5
55,1i,150.0,2,4.4761,1,1.0,False,3,15.4265,1.0,304.08,scenario_straight_heavy,val,development,0.5
60,1i,150.0,2,12.0312,1,1.0,False,3,14.1305,1.0,211.09,scenario_straight_heavy,val,development,0.5
65,1i,150.0,4,11.8016,1,1.0,False,4,13.8875,1.0,376.55,scenario_straight_heavy,val,development,0.5
70,1i,150.0,4,7.8464,2,13.77,False,4,11.1204,1.0,241.03,scenario_straight_heavy,val,development,0.5
75,1i,150.0,4,6.5333,2,13.71,False,3,7.9958,1.0,108.81,scenario_straight_heavy,val,development,0.5
80,1i,150.0,3,5.5515,1,1.0,False,2,8.3272,7.93,26.22,scenario_straight_heavy,val,development,0.5
85,1i,150.0,2,0.0629,1,1.0,False,1,0.1258,1.02,1.02,scenario_straight_heavy,val,development,0.5
90,1i,150.0,3,8.2849,2,1.0,False,1,0.0,1.0,1.0,scenario_straight_heavy,val,development,0.5
95,1i,150.0,3,3.8461,2,1.0,False,2,13.6655,1.0,377.06,scenario_straight_heavy,val,development,0.5
100,1i,150.0,3,0.0215,3,5.05,False,2,13.6227,1.0,240.89,scenario_straight_heavy,val,development,0.5
105,1i,150.0,6,12.369,3,5.0,False,2,11.973,1.0,110.83,scenario_straight_heavy,val,development,0.5
110,1i,150.0,6,6.5007,3,5.0,False,2,5.2309,1.0,30.52,scenario_straight_heavy,val,development,0.5
115,1i,150.0,6,0.2609,4,13.71,False,2,0.0022,1.0,13.71,scenario_straight_heavy,val,development,0.5
120,1i,150.0,7,3.3511,6,13.71,False,2,0.0,1.0,13.71,scenario_straight_heavy,val,development,0.5
125,1i,150.0,7,1.616,6,13.71,False,2,0.0,1.0,13.71,scenario_straight_heavy,val,development,0.5
130,1i,150.0,7,0.0272,7,16.18,False,2,0.0,1.0,13.71,scenario_straight_heavy,val,development,0.5
135,1i,150.0,8,2.9268,7,16.0,False,2,0.0,1.0,13.71,scenario_straight_heavy,val,development,0.5
140,1i,150.0,5,4.3976,1,1.0,False,4,20.1675,0.21,384.07,scenario_straight_heavy,val,development,0.5
