timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,1,25.3878,0,0.0,False
15,2i,150.0,3,25.5834,0,0.0,False
15,3i,150.0,3,25.4425,0,0.0,False
15,4i,150.0,1,25.9414,0,0.0,False
20,1i,150.0,3,16.8248,0,0.0,False
20,2i,150.0,3,13.311,0,0.0,False
20,3i,150.0,2,15.0006,0,0.0,False
20,4i,150.0,3,17.011,0,0.0,False
25,1i,150.0,3,9.1784,1,1.0,False
25,2i,150.0,3,0.4948,2,1.0,False
25,3i,150.0,1,2.0127,0,0.0,False
25,4i,150.0,2,15.8825,0,0.0,False
30,1i,150.0,4,6.0016,1,1.0,False
30,2i,150.0,4,6.0855,3,1.0,False
30,3i,150.0,2,12.4613,1,1.0,False
30,4i,150.0,2,12.0116,0,0.0,False
35,1i,150.0,4,3.5702,3,1.0,False
35,2i,150.0,4,3.8002,3,1.0,False
35,3i,150.0,1,11.6712,0,0.0,False
35,4i,150.0,1,15.6173,0,0.0,False
40,1i,150.0,4,0.1864,3,1.0,False
40,2i,150.0,4,0.3347,3,1.0,False
40,3i,150.0,1,0.7522,0,0.0,False
40,4i,150.0,1,2.428,0,0.0,False
45,1i,150.0,5,4.7283,4,15.04,False
45,2i,150.0,4,0.0,4,8.0,False
45,3i,150.0,1,0.0005,1,1.0,False
45,4i,150.0,1,0.0,1,1.0,False
50,1i,150.0,3,5.3343,1,1.0,False
50,2i,150.0,2,9.6736,1,1.0,False
50,3i,150.0,2,9.5092,1,1.0,False
50,4i,150.0,2,9.0433,1,1.0,False
55,1i,150.0,2,4.4761,1,1.0,False
55,2i,150.0,2,7.7283,1,1.0,False
55,3i,150.0,2,5.7592,1,1.0,False
55,4i,150.0,2,5.4131,1,1.0,False
60,1i,150.0,2,12.0312,1,1.0,False
60,2i,150.0,4,18.9847,1,1.0,False
60,3i,150.0,4,13.3309,1,1.0,False
60,4i,150.0,4,13.7029,1,1.0,False
65,1i,150.0,4,11.8016,1,1.0,False
65,2i,150.0,4,10.6733,1,1.0,False
65,3i,150.0,5,8.0922,2,5.0,False
65,4i,150.0,5,8.5589,2,8.01,False
70,1i,150.0,4,7.8464,2,13.77,False
70,2i,150.0,2,0.0872,2,5.02,False
70,3i,150.0,5,3.1464,4,17.72,False
70,4i,150.0,5,3.2158,3,8.0,False
75,1i,150.0,4,6.5333,2,13.71,False
75,2i,150.0,3,8.3249,2,5.0,False
75,3i,150.0,5,0.1346,4,17.71,False
75,4i,150.0,6,4.1669,4,20.71,False
80,1i,150.0,3,5.5515,1,1.0,False
80,2i,150.0,1,12.3244,0,0.0,False
80,3i,150.0,6,2.346,5,17.71,False
80,4i,150.0,6,2.0366,5,20.71,False
85,1i,150.0,2,0.0629,1,1.0,False
85,2i,150.0,1,0.0745,0,0.0,False
85,3i,150.0,6,1.596,5,17.71,False
85,4i,150.0,6,0.1565,5,20.71,False
90,1i,150.0,3,8.2849,2,1.0,False
90,2i,150.0,2,12.1389,1,1.0,False
90,3i,150.0,7,3.642,5,17.71,False
90,4i,150.0,7,3.2057,6,27.71,False
95,1i,150.0,3,3.8461,2,1.0,False
95,2i,150.0,2,5.6101,1,1.0,False
95,3i,150.0,4,4.29,1,1.0,False
95,4i,150.0,4,3.3704,1,1.0,False
100,1i,150.0,3,0.0215,3,5.05,False
100,2i,150.0,2,0.0872,1,1.0,False
100,3i,150.0,2,2.9952,1,1.0,False
100,4i,150.0,2,4.035,1,1.0,False
105,1i,150.0,6,12.369,3,5.0,False
105,2i,150.0,4,12.1777,2,5.0,False
105,3i,150.0,4,18.8295,1,1.0,False
105,4i,150.0,3,17.2122,1,1.0,False
110,1i,150.0,6,6.5007,3,5.0,False
110,2i,150.0,5,9.885,2,5.0,False
110,3i,150.0,4,11.8102,1,1.0,False
110,4i,150.0,4,10.4596,1,1.0,False
115,1i,150.0,6,0.2609,4,13.71,False
115,2i,150.0,5,3.5212,2,5.0,False
115,3i,150.0,2,0.1324,2,5.07,False
115,4i,150.0,2,0.1327,1,1.0,False
120,1i,150.0,7,3.3511,6,13.71,False
120,2i,150.0,5,0.0013,4,9.01,False
120,3i,150.0,3,8.3508,2,5.0,False
120,4i,150.0,3,8.3807,2,5.0,False
125,1i,150.0,7,1.616,6,13.71,False
125,2i,150.0,6,3.0496,5,9.0,False
125,3i,150.0,1,12.5726,0,0.0,False
125,4i,150.0,1,13.1024,0,0.0,False
130,1i,150.0,7,0.0272,7,16.18,False
130,2i,150.0,6,1.7996,5,9.0,False
130,3i,150.0,1,0.0098,0,0.0,False
130,4i,150.0,1,0.0,0,0.0,False
135,1i,150.0,8,2.9268,7,16.0,False
135,2i,150.0,7,3.671,5,9.0,False
135,3i,150.0,2,12.7853,1,1.0,False
