timestamp,probe_id,edge_id,approach_edge,lane_id,speed_mps,acceleration_mps2,distance_to_stopline_m
856.0,f_1i_left_9.19,1i,1i,1i_2,27.77,0.0,483.3
857.0,f_1i_left_9.19,1i,1i,1i_2,27.3274,-0.4426,455.9726
858.0,f_1i_left_9.19,1i,1i,1i_2,27.2353,-0.0921,428.7373
859.0,f_1i_left_9.19,1i,1i,1i_2,26.9591,-0.2762,401.7782
860.0,f_1i_left_9.19,1i,1i,1i_2,26.471,-0.4881,375.3072
861.0,f_1i_left_9.19,1i,1i,1i_2,26.6785,0.2075,348.6286
862.0,f_1i_left_9.19,1i,1i,1i_2,26.1858,-0.4928,322.4429
863.0,f_1i_left_9.19,1i,1i,1i_2,27.2745,1.0888,295.1683
864.0,f_1i_left_9.19,1i,1i,1i_2,26.0364,-1.2381,269.1319
865.0,f_1i_left_9.19,1i,1i,1i_2,26.0602,0.0238,243.0717
866.0,f_1i_left_9.19,1i,1i,1i_2,27.6421,1.5819,215.4296
867.0,f_1i_left_9.19,1i,1i,1i_2,27.3997,-0.2424,188.0299
868.0,f_1i_left_9.19,1i,1i,1i_2,26.0419,-1.3578,161.988
869.0,f_1i_left_9.19,1i,1i,1i_2,26.6929,0.651,135.2951
870.0,f_1i_left_9.19,1i,1i,1i_2,25.4309,-1.2621,109.8643
871.0,f_1i_left_9.19,1i,1i,1i_2,22.7804,-2.6504,87.0839
872.0,f_1i_left_9.19,1i,1i,1i_2,19.9804,-2.8,67.1034
873.0,f_1i_left_9.19,1i,1i,1i_2,17.1804,-2.8,49.923
874.0,f_1i_left_9.19,1i,1i,1i_2,14.3804,-2.8,35.5426
875.0,f_1i_left_9.19,1i,1i,1i_2,11.5804,-2.8,23.9622
876.0,f_1i_left_9.19,1i,1i,1i_2,8.7804,-2.8,15.1818
877.0,f_1i_left_9.19,1i,1i,1i_2,6.0961,-2.6843,9.0857
878.0,f_1i_left_9.19,1i,1i,1i_2,3.2961,-2.8,5.7896
879.0,f_1i_left_9.19,1i,1i,1i_2,0.5047,-2.7914,5.2849
880.0,f_1i_left_9.19,1i,1i,1i_2,0.2541,-0.2505,5.0308
881.0,f_1i_left_9.19,1i,1i,1i_2,0.0285,-0.2257,5.0023
882.0,f_1i_left_9.19,1i,1i,1i_2,0.0003,-0.0282,5.002
883.0,f_1i_left_9.19,1i,1i,1i_2,0.0,-0.0003,5.002
884.0,f_1i_left_9.19,1i,1i,1i_2,0.0,0.0,5.002
885.0,f_1i_left_9.19,1i,1i,1i_2,0.0,0.0,5.002
886.0,f_1i_left_9.19,1i,1i,1i_2,0.0,0.0,5.002
