timestamp,vehicle_id,vehicle_type,edge_id,lane_id,is_internal_edge,is_approach_edge,lane_position_m,lane_length_m,distance_from_stop_line_m,speed_mps,acceleration_mps2,waiting_time_s,x,y,angle_deg
1.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,10.31,484.9,474.59,19.44,0.0,0.0,21.81,508.4,90.0
1.0,f_1i_right_11.0,bike,1i,1i_0,0,1,1.6,484.9,483.3,27.77,0.0,0.0,13.1,502.0,90.0
1.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,11.64,484.9,473.26,19.44,0.0,0.0,23.14,505.2,90.0
1.0,f_2i_left_6.0,bike,2i,2i_2,0,1,1.6,484.9,483.3,27.77,0.0,0.0,1006.9,511.6,270.0
1.0,f_2i_right_8.0,bike,2i,2i_0,0,1,1.6,484.9,483.3,27.77,0.0,0.0,1006.9,518.0,270.0
1.0,f_2i_straight_7.0,car,2i,2i_1,0,1,4.6,484.9,480.3,25.0,0.0,0.0,1003.9,514.8,270.0
1.0,f_3i_left_3.0,car,3i,3i_2,0,1,4.6,484.9,480.3,25.0,0.0,0.0,511.6,16.1,0.0
1.0,f_3i_right_5.0,bike,3i,3i_0,0,1,1.6,484.9,483.3,27.77,0.0,0.0,518.0,13.1,0.0
1.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,1.6,484.9,483.3,27.77,0.0,0.0,514.8,13.1,0.0
1.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,10.31,484.9,474.59,19.44,0.0,0.0,508.4,998.19,180.0
1.0,f_4i_right_2.0,bike,4i,4i_0,0,1,1.6,484.9,483.3,27.77,0.0,0.0,502.0,1006.9,180.0
1.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,10.31,484.9,474.59,19.44,0.0,0.0,505.2,998.19,180.0
2.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,29.1812,484.9,455.7188,18.8712,-0.5688,0.0,40.6812,508.4,90.0
2.0,f_1i_right_11.0,bike,1i,1i_0,0,1,28.1087,484.9,456.7913,26.5087,-1.2613,0.0,39.6087,502.0,90.0
2.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,31.0554,484.9,453.8446,19.4154,-0.0246,0.0,42.5554,505.2,90.0
2.0,f_2i_left_6.0,bike,2i,2i_2,0,1,27.9597,484.9,456.9403,26.3597,-1.4103,0.0,980.5403,511.6,270.0
2.0,f_2i_right_8.0,bike,2i,2i_0,0,1,28.6223,484.9,456.2777,27.0223,-0.7477,0.0,979.8777,518.0,270.0
2.0,f_2i_straight_7.0,car,2i,2i_1,0,1,28.7479,484.9,456.1521,24.1479,-0.8521,0.0,979.7521,514.8,270.0
2.0,f_3i_left_3.0,car,3i,3i_2,0,1,28.1922,484.9,456.7078,23.5922,-1.4078,0.0,511.6,39.6922,0.0
2.0,f_3i_right_5.0,bike,3i,3i_0,0,1,28.0404,484.9,456.8596,26.4404,-1.3296,0.0,518.0,39.5404,0.0
2.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,28.3263,484.9,456.5737,26.7263,-1.0437,0.0,514.8,39.8263,0.0
2.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,29.3496,484.9,455.5504,19.0396,-0.4004,0.0,508.4,979.1504,180.0
2.0,f_4i_right_2.0,bike,4i,4i_0,0,1,27.917,484.9,456.983,26.317,-1.453,0.0,502.0,980.583,180.0
2.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,29.7229,484.9,455.1771,19.4129,-0.0271,0.0,505.2,978.7771,180.0
3.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,47.6684,484.9,437.2316,18.4872,-0.384,0.0,59.1684,508.4,90.0
3.0,f_1i_right_11.0,bike,1i,1i_0,0,1,51.8175,484.9,433.0825,23.7087,-2.8,0.0,63.3175,502.0,90.0
3.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,50.4348,484.9,434.4652,19.3794,-0.0359,0.0,61.9348,505.2,90.0
3.0,f_2i_left_6.0,bike,2i,2i_2,0,1,54.9674,484.9,429.9326,27.0077,0.648,0.0,953.5326,511.6,270.0
3.0,f_2i_right_8.0,bike,2i,2i_0,0,1,52.8445,484.9,432.0555,24.2223,-2.8,0.0,955.6555,518.0,270.0
3.0,f_2i_straight_7.0,car,2i,2i_1,0,1,52.0484,484.9,432.8516,23.3006,-0.8473,0.0,956.4516,514.8,270.0
3.0,f_3i_left_3.0,car,3i,3i_2,0,1,51.8657,484.9,433.0343,23.6735,0.0813,0.0,511.6,63.3657,0.0
