timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,3,25.3402,0,0.0,False,,,0.0
20,1i,150.0,3,12.2903,0,0.0,False,,,0.0
25,1i,150.0,3,0.0,3,1.0,False,,,0.006666666666666667
30,1i,150.0,5,9.7895,3,1.0,False,1.0,9.7895,0.006666666666666667
35,1i,150.0,6,7.0337,3,1.0,False,1.0,7.0337,0.006666666666666667
40,1i,150.0,6,2.0469,3,1.0,False,1.0,2.0469,0.006666666666666667
45,1i,150.0,7,3.9133,5,5.0,False,5.0,-21.4269,0.03333333333333333
50,1i,150.0,5,7.501,2,5.0,False,5.0,-4.7893,0.03333333333333333
55,1i,150.0,5,6.3907,3,12.05,False,11.05,6.3907,0.08033333333333334
60,1i,150.0,6,10.4284,3,12.0,False,11.0,0.6388999999999996,0.08
65,1i,150.0,5,4.5609,3,12.0,False,11.0,-2.4727999999999994,0.08
70,1i,150.0,5,5.2758,4,16.0,False,15.0,3.2289000000000003,0.10666666666666667
75,1i,150.0,7,7.9067,4,16.0,False,11.0,3.9934,0.10666666666666667
80,1i,150.0,5,3.9586,1,16.0,False,11.0,-3.5424,0.10666666666666667
85,1i,150.0,5,6.3343,2,1.01,False,-11.040000000000001,-0.056400000000000006,0.006733333333333333
90,1i,150.0,7,6.7868,4,5.07,False,-6.93,-3.6415999999999995,0.033800000000000004
95,1i,150.0,7,1.5561,4,5.0,False,-7.0,-3.0048000000000004,0.03333333333333333
100,1i,150.0,8,2.6471,7,12.01,False,-3.99,-2.6287000000000003,0.08006666666666666
105,1i,150.0,8,1.044,7,12.0,False,-4.0,-6.8627,0.08
110,1i,150.0,10,2.3754,8,12.0,False,-4.0,-1.5832000000000002,0.08
115,1i,150.0,12,4.6441,8,12.0,False,10.99,-1.6902,0.08
120,1i,150.0,13,3.4638,8,12.0,False,6.93,-3.3230000000000004,0.08
125,1i,150.0,13,0.4929,10,19.0,False,14.0,-1.0632000000000001,0.12666666666666668
130,1i,150.0,15,2.595,13,33.05,False,21.04,-0.05209999999999981,0.22033333333333333
135,1i,150.0,16,1.8207,13,33.05,False,21.049999999999997,0.7767,0.22033333333333333
140,1i,150.0,12,3.5648,7,37.05,False,25.049999999999997,1.1894,0.24699999999999997
145,1i,150.0,9,4.7501,6,37.05,False,25.049999999999997,0.10599999999999987,0.24699999999999997
150,1i,150.0,8,3.5268,6,37.05,False,25.049999999999997,0.06300000000000017,0.24699999999999997
155,1i,150.0,8,3.4895,6,37.05,False,18.049999999999997,2.9966,0.24699999999999997
160,1i,150.0,10,5.631,6,37.05,False,4.0,3.036,0.24699999999999997
165,1i,150.0,10,1.9739,7,41.05,False,8.0,0.1532,0.27366666666666667
170,1i,150.0,10,2.4753,7,53.77,False,16.720000000000006,-1.0895000000000001,0.3584666666666667
175,1i,150.0,9,4.2484,4,53.58,False,16.53,-0.5016999999999996,0.35719999999999996
180,1i,150.0,10,2.7606,4,15.05,False,-21.999999999999996,-0.7662,0.10033333333333334
185,1i,150.0,11,2.3768,7,23.08,False,-13.969999999999999,-1.1127000000000002,0.15386666666666665
190,1i,150.0,13,3.9816,9,39.76,False,2.710000000000001,-1.6494000000000004,0.2650666666666667
195,1i,150.0,13,1.1244,11,39.76,False,-1.2899999999999991,-0.8494999999999999,0.2650666666666667
200,1i,150.0,14,1.2728,12,43.81,False,-9.96,-1.2025,0.2920666666666667
205,1i,150.0,16,1.9976,13,43.76,False,-9.82,-2.2508,0.29173333333333334
210,1i,150.0,16,0.1214,15,50.97,False,35.92,-2.6392,0.3398
215,1i,150.0,17,0.9944,16,50.76,False,27.68,-1.3823999999999999,0.3384
220,1i,150.0,19,1.9374,16,50.76,False,11.0,-2.0442,0.3384
225,1i,150.0,20,1.8257,17,50.76,False,11.0,0.7013,0.3384
230,1i,150.0,16,1.9895,9,50.76,False,6.949999999999996,0.7167000000000001,0.3384
235,1i,150.0,13,2.651,9,54.76,False,11.0,0.6533999999999998,0.36506666666666665
