timestamp,approach_edge,true_queue_length_m,true_queue_beyond_camera
0,1i,0.0,False
5,1i,0.0,False
10,1i,0.0,False
15,1i,0.0,False
20,1i,0.0,False
25,1i,1.0,False
30,1i,1.0,False
35,1i,1.0,False
40,1i,1.0,False
45,1i,5.0,False
50,1i,5.0,False
55,1i,12.05,False
60,1i,12.0,False
65,1i,12.0,False
70,1i,16.0,False
75,1i,16.0,False
80,1i,16.0,False
85,1i,1.01,False
90,1i,5.07,False
95,1i,5.0,False
100,1i,12.01,False
105,1i,12.0,False
110,1i,12.0,False
115,1i,12.0,False
120,1i,12.0,False
125,1i,19.0,False
130,1i,33.05,False
135,1i,33.05,False
140,1i,37.05,False
145,1i,37.05,False
150,1i,37.05,False
155,1i,37.05,False
160,1i,37.05,False
165,1i,41.05,False
170,1i,53.77,False
175,1i,53.58,False
180,1i,15.05,False
185,1i,23.08,False
190,1i,39.76,False
195,1i,39.76,False
200,1i,43.81,False
205,1i,43.76,False
210,1i,50.97,False
215,1i,50.76,False
220,1i,50.76,False
225,1i,50.76,False
230,1i,50.76,False
235,1i,54.76,False
240,1i,54.76,False
245,1i,54.76,False
250,1i,67.48,False
255,1i,81.51,False
260,1i,81.51,False
265,1i,81.51,False
270,1i,85.38,False
275,1i,29.83,False
280,1i,53.53,False
285,1i,75.67,False
290,1i,75.47,False
295,1i,75.47,False
300,1i,79.47,False
305,1i,79.47,False
310,1i,79.47,False
315,1i,83.48,False
320,1i,83.47,False
325,1i,87.48,False
330,1i,87.48,False
335,1i,87.48,False
340,1i,94.48,False
345,1i,94.48,False
350,1i,94.48,False
355,1i,98.48,False
360,1i,98.48,False
365,1i,98.38,False
370,1i,32.73,False
375,1i,59.1,False
380,1i,78.76,False
385,1i,94.66,False
390,1i,94.48,False
395,1i,94.48,False
400,1i,101.48,False
405,1i,101.48,False
410,1i,105.49,False
415,1i,105.48,False
420,1i,105.48,False
425,1i,105.48,False
430,1i,105.48,False
435,1i,109.49,False
440,1i,123.52,False
445,1i,123.52,False
450,1i,123.52,False
455,1i,130.53,False
460,1i,130.37,False
465,1i,67.24,False
470,1i,95.22,False
475,1i,119.96,False
480,1i,119.54,False
485,1i,119.52,False
490,1i,119.52,False
495,1i,123.52,False
500,1i,137.56,False
505,1i,137.56,False
510,1i,141.57,False
515,1i,141.56,False
520,1i,141.56,False
525,1i,141.56,False
530,1i,145.56,False
535,1i,145.56,False
540,1i,158.28,True
545,1i,158.27,True
550,1i,158.27,True
555,1i,157.76,True
560,1i,154.58,True
565,1i,121.39,False
570,1i,141.93,False
575,1i,162.72,True
580,1i,162.61,True
585,1i,169.61,True
590,1i,169.61,True
595,1i,182.33,True
600,1i,182.32,True
605,1i,182.32,True
610,1i,189.32,True
615,1i,189.32,True
620,1i,189.32,True
625,1i,196.32,True
630,1i,196.32,True
635,1i,196.32,True
640,1i,200.32,True
645,1i,200.32,True
650,1i,200.17,True
655,1i,203.11,True
660,1i,188.43,True
665,1i,187.72,True
670,1i,198.01,True
675,1i,197.3,True
680,1i,201.3,True
685,1i,201.28,True
690,1i,201.28,True
695,1i,205.29,True
700,1i,205.28,True
705,1i,205.28,True
710,1i,212.28,True
715,1i,212.28,True
720,1i,212.28,True
725,1i,216.29,True
730,1i,216.29,True
735,1i,216.29,True
740,1i,220.3,True
745,1i,220.26,True
750,1i,218.8,True
755,1i,228.28,True
760,1i,223.74,True
765,1i,221.2,True
770,1i,225.02,True
775,1i,225.0,True
780,1i,232.0,True
785,1i,232.0,True
790,1i,232.0,True
795,1i,239.0,True
800,1i,239.0,True
805,1i,239.0,True
810,1i,246.0,True
815,1i,246.0,True
820,1i,246.0,True
825,1i,250.0,True
830,1i,250.0,True
835,1i,250.0,True
840,1i,256.99,True
845,1i,255.9,True
850,1i,242.9,True
855,1i,247.16,True
860,1i,242.83,True
865,1i,258.99,True
870,1i,258.73,True
875,1i,258.71,True
880,1i,262.71,True
885,1i,262.71,True
890,1i,262.71,True
895,1i,266.71,True
900,1i,266.71,True
905,1i,266.71,True
910,1i,273.71,True
