timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
0,1i,0,0.0,0.0,0.0,0,0.0,False
0,2i,0,0.0,0.0,0.0,0,0.0,False
0,3i,0,0.0,0.0,0.0,0,0.0,False
0,4i,0,0.0,0.0,0.0,0,0.0,False
5,1i,3,26.8645,6.1868,0.0,0,0.0,False
5,2i,3,27.168,6.1868,0.0,0,0.0,False
5,3i,3,25.0026,6.1868,0.0,0,0.0,False
5,4i,3,23.3995,6.1868,0.0,0,0.0,False
10,1i,3,26.6906,6.1868,0.0,0,0.0,False
10,2i,3,27.5791,6.1868,0.0,0,0.0,False
10,3i,3,24.9013,6.1868,0.0,0,0.0,False
10,4i,3,23.1369,6.1868,0.0,0,0.0,False
15,1i,4,25.2551,8.2491,0.0,0,0.0,False
15,2i,4,26.0192,8.2491,0.0,0,0.0,False
15,3i,4,25.6933,8.2491,0.0,0,0.0,False
15,4i,4,24.427,8.2491,0.0,0,0.0,False
20,1i,6,17.3525,12.3737,0.0,0,0.0,False
20,2i,6,19.051,12.3737,0.0,0,0.0,False
20,3i,6,20.5364,12.3737,0.0,0,0.0,False
20,4i,6,18.6884,12.3737,0.0,0,0.0,False
25,1i,6,11.1905,12.3737,0.0,3,1.0,False
25,2i,6,12.9553,12.3737,0.0,3,1.0,False
25,3i,4,19.7313,8.2491,1440.0,1,1.0,False
25,4i,5,15.6957,10.3114,720.0,1,1.0,False
30,1i,9,15.8553,18.5605,0.0,3,1.0,False
30,2i,9,16.7852,18.5605,0.0,3,1.0,False
30,3i,7,21.7728,14.436,0.0,1,1.0,False
30,4i,8,15.9084,16.4982,0.0,1,1.0,False
35,1i,9,11.6372,18.5605,0.0,3,1.0,False
35,2i,9,12.547,18.5605,0.0,3,1.0,False
35,3i,6,19.0834,12.3737,720.0,0,0.0,False
35,4i,7,15.8853,14.436,720.0,1,1.0,False
40,1i,9,8.3688,18.5605,0.0,3,1.0,False
40,2i,9,9.0239,18.5605,0.0,5,5.03,False
40,3i,5,16.0563,10.3114,720.0,1,1.02,False
40,4i,7,12.7944,14.436,0.0,2,1.0,False
45,1i,12,11.5845,24.7474,0.0,5,5.0,False
45,2i,12,12.0296,24.7474,0.0,6,5.0,False
45,3i,8,17.3769,16.4982,0.0,2,1.0,False
45,4i,10,13.4479,20.6228,0.0,2,1.0,False
50,1i,8,14.2054,16.4982,2880.0,2,5.0,False
50,2i,8,13.9232,16.4982,2880.0,2,5.0,False
50,3i,8,12.2036,16.4982,0.0,2,1.0,False
50,4i,10,10.9791,20.6228,0.0,4,13.72,False
55,1i,8,13.6953,16.4982,0.0,3,12.05,False
55,2i,6,12.7374,12.3737,1440.0,3,9.0,False
55,3i,8,8.7816,16.4982,0.0,4,5.0,False
55,4i,10,8.5148,20.6228,0.0,5,13.73,False
60,1i,9,15.5979,18.5605,1440.0,3,12.0,False
60,2i,9,15.862,18.5605,0.0,3,9.0,False
60,3i,11,11.853,22.6851,0.0,5,8.0,False
60,4i,13,10.01,26.8097,0.0,5,13.71,False
65,1i,8,12.6311,16.4982,720.0,3,12.0,False
65,2i,8,13.0991,16.4982,720.0,3,9.0,False
65,3i,11,9.0748,22.6851,0.0,5,8.0,False
65,4i,13,7.1875,26.8097,0.0,7,26.42,False
70,1i,7,11.1769,14.436,720.0,4,16.0,False
70,2i,7,11.5554,14.436,720.0,3,9.0,False
70,3i,11,7.1048,22.6851,0.0,6,9.0,False
70,4i,13,5.9053,26.8097,0.0,9,39.14,False
75,1i,10,13.5178,20.6228,0.0,4,16.0,False
75,2i,10,12.8774,20.6228,0.0,4,13.0,False
75,3i,14,9.2296,28.8719,0.0,7,9.0,False
75,4i,16,7.8851,32.9965,0.0,9,39.13,False
80,1i,8,12.3605,16.4982,1440.0,1,16.0,False
80,2i,8,11.5631,16.4982,1440.0,1,13.0,False
80,3i,14,6.7698,28.8719,0.0,8,12.0,False
80,4i,16,5.9153,32.9965,0.0,10,39.13,False
85,1i,8,13.8473,16.4982,720.0,2,1.01,False
85,2i,8,13.2757,16.4982,720.0,2,1.0,False
85,3i,15,6.9338,30.9342,0.0,10,24.72,False
85,4i,17,6.2005,35.0588,0.0,12,43.15,False
90,1i,10,11.2477,20.6228,0.0,4,5.07,False
90,2i,10,12.7297,20.6228,0.0,4,7.13,False
90,3i,17,7.0187,35.0588,0.0,10,24.71,False
90,4i,19,6.6147,39.1833,0.0,12,43.14,False
95,1i,10,7.659,20.6228,0.0,4,5.0,False
95,2i,10,9.0259,20.6228,0.0,4,7.13,False
95,3i,12,7.5337,24.7474,3600.0,3,12.04,False
95,4i,15,6.8407,30.9342,2880.0,5,42.66,False
100,1i,11,7.5474,22.6851,0.0,7,12.01,False
100,2i,11,8.7677,22.6851,0.0,7,11.13,False
100,3i,9,10.8277,18.5605,2880.0,4,26.04,False
