timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
5,1i,150.0,0,0.0,0,0.0,False,2,27.0433,373.25,377.09,scenario_very_high_demand_OOD,ood,ood,0.11
10,1i,150.0,0,0.0,0,0.0,False,2,26.8255,239.16,242.71,scenario_very_high_demand_OOD,ood,ood,0.11
15,1i,150.0,3,25.3402,0,0.0,False,2,25.1352,107.21,110.6,scenario_very_high_demand_OOD,ood,ood,0.11
20,1i,150.0,3,12.2903,0,0.0,False,2,12.1744,18.81,20.65,scenario_very_high_demand_OOD,ood,ood,0.11
25,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_very_high_demand_OOD,ood,ood,0.11
30,1i,150.0,5,9.7895,3,1.0,False,2,0.0,1.0,1.0,scenario_very_high_demand_OOD,ood,ood,0.11
35,1i,150.0,6,7.0337,3,1.0,False,2,0.0,1.0,1.0,scenario_very_high_demand_OOD,ood,ood,0.11
40,1i,150.0,6,2.0469,3,1.0,False,2,0.0,1.0,1.0,scenario_very_high_demand_OOD,ood,ood,0.11
45,1i,150.0,7,3.9133,5,5.0,False,2,0.0,1.0,1.0,scenario_very_high_demand_OOD,ood,ood,0.11
50,1i,150.0,5,7.501,2,5.0,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
55,1i,150.0,5,6.3907,3,12.05,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
60,1i,150.0,6,10.4284,3,12.0,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
65,1i,150.0,5,4.5609,3,12.0,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
70,1i,150.0,5,5.2758,4,16.0,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
75,1i,150.0,7,7.9067,4,16.0,False,1,27.6603,427.96,427.96,scenario_very_high_demand_OOD,ood,ood,0.11
80,1i,150.0,5,3.9586,1,16.0,False,1,27.3633,293.57,293.57,scenario_very_high_demand_OOD,ood,ood,0.11
85,1i,150.0,5,6.3343,2,1.01,False,1,27.6622,157.31,157.31,scenario_very_high_demand_OOD,ood,ood,0.11
90,1i,150.0,7,6.7868,4,5.07,False,1,15.6323,52.42,52.42,scenario_very_high_demand_OOD,ood,ood,0.11
95,1i,150.0,7,1.5561,4,5.0,False,1,4.0323,6.35,6.35,scenario_very_high_demand_OOD,ood,ood,0.11
100,1i,150.0,8,2.6471,7,12.01,False,2,11.8031,5.0,456.69,scenario_very_high_demand_OOD,ood,ood,0.11
105,1i,150.0,8,1.044,7,12.0,False,2,12.1653,5.0,336.17,scenario_very_high_demand_OOD,ood,ood,0.11
110,1i,150.0,10,2.3754,8,12.0,False,2,12.4419,5.0,215.56,scenario_very_high_demand_OOD,ood,ood,0.11
115,1i,150.0,12,4.6441,8,12.0,False,2,9.0591,5.0,107.77,scenario_very_high_demand_OOD,ood,ood,0.11
120,1i,150.0,13,3.4638,8,12.0,False,2,5.6108,5.0,33.56,scenario_very_high_demand_OOD,ood,ood,0.11
125,1i,150.0,13,0.4929,10,19.0,False,2,0.0688,5.0,13.02,scenario_very_high_demand_OOD,ood,ood,0.11
130,1i,150.0,15,2.595,13,33.05,False,2,0.0,5.0,13.0,scenario_very_high_demand_OOD,ood,ood,0.11
135,1i,150.0,16,1.8207,13,33.05,False,2,0.0,5.0,13.0,scenario_very_high_demand_OOD,ood,ood,0.11
140,1i,150.0,12,3.5648,7,37.05,False,1,3.4441,8.54,8.54,scenario_very_high_demand_OOD,ood,ood,0.11
145,1i,150.0,9,4.7501,6,37.05,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
150,1i,150.0,8,3.5268,6,37.05,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
155,1i,150.0,8,3.4895,6,37.05,False,0,,,,scenario_very_high_demand_OOD,ood,ood,0.11
