timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,3,25.3402,0,0.0,False
15,2i,150.0,3,25.4356,0,0.0,False
15,3i,150.0,3,25.0011,0,0.0,False
15,4i,150.0,2,25.4675,0,0.0,False
20,1i,150.0,3,12.2903,0,0.0,False
20,2i,150.0,3,11.7993,0,0.0,False
20,3i,150.0,3,15.1368,0,0.0,False
20,4i,150.0,3,15.8284,0,0.0,False
25,1i,150.0,3,0.0,3,1.0,False
25,2i,150.0,3,0.0,3,1.0,False
25,3i,150.0,1,0.0,1,1.0,False
25,4i,150.0,2,7.1072,1,1.0,False
30,1i,150.0,5,9.7895,3,1.0,False
30,2i,150.0,6,11.8352,3,1.0,False
30,3i,150.0,4,17.8475,1,1.0,False
30,4i,150.0,3,7.8323,1,1.0,False
35,1i,150.0,6,7.0337,3,1.0,False
35,2i,150.0,6,5.7781,3,1.0,False
35,3i,150.0,3,12.2867,0,0.0,False
35,4i,150.0,4,11.7991,1,1.0,False
40,1i,150.0,6,2.0469,3,1.0,False
40,2i,150.0,6,0.4854,5,5.03,False
40,3i,150.0,2,1.3765,1,1.02,False
40,4i,150.0,4,6.3204,2,1.0,False
45,1i,150.0,7,3.9133,5,5.0,False
45,2i,150.0,9,7.2565,6,5.0,False
45,3i,150.0,5,13.5478,2,1.0,False
45,4i,150.0,5,4.9183,2,1.0,False
50,1i,150.0,5,7.501,2,5.0,False
50,2i,150.0,5,6.8263,2,5.0,False
50,3i,150.0,5,5.3453,2,1.0,False
50,4i,150.0,7,5.7534,4,13.72,False
55,1i,150.0,5,6.3907,3,12.05,False
55,2i,150.0,3,0.0062,3,9.0,False
55,3i,150.0,5,0.0585,4,5.0,False
55,4i,150.0,7,2.4629,5,13.73,False
60,1i,150.0,6,10.4284,3,12.0,False
60,2i,150.0,6,10.2619,3,9.0,False
60,3i,150.0,7,5.8922,5,8.0,False
60,4i,150.0,9,4.5991,5,13.71,False
65,1i,150.0,5,4.5609,3,12.0,False
65,2i,150.0,5,4.7499,3,9.0,False
65,3i,150.0,8,3.9595,5,8.0,False
65,4i,150.0,10,2.5707,7,26.42,False
70,1i,150.0,5,5.2758,4,16.0,False
70,2i,150.0,5,5.3751,3,9.0,False
70,3i,150.0,8,1.2256,6,9.0,False
70,4i,150.0,10,0.9021,9,39.14,False
75,1i,150.0,7,7.9067,4,16.0,False
75,2i,150.0,7,7.2786,4,13.0,False
75,3i,150.0,10,3.8448,7,9.0,False
75,4i,150.0,12,3.0289,9,39.13,False
80,1i,150.0,5,3.9586,1,16.0,False
80,2i,150.0,5,3.2269,1,13.0,False
80,3i,150.0,11,2.1088,8,12.0,False
80,4i,150.0,13,1.6399,10,39.13,False
85,1i,150.0,5,6.3343,2,1.01,False
85,2i,150.0,5,5.5413,2,1.0,False
85,3i,150.0,12,2.5874,10,24.72,False
85,4i,150.0,14,2.0827,12,43.15,False
90,1i,150.0,7,6.7868,4,5.07,False
90,2i,150.0,7,6.9029,4,7.13,False
90,3i,150.0,14,3.6977,10,24.71,False
90,4i,150.0,16,3.0155,12,43.14,False
95,1i,150.0,7,1.5561,4,5.0,False
95,2i,150.0,7,1.7283,4,7.13,False
95,3i,150.0,9,2.6604,3,12.04,False
95,4i,150.0,12,1.979,5,42.66,False
100,1i,150.0,8,2.6471,7,12.01,False
100,2i,150.0,8,2.6299,7,11.13,False
100,3i,150.0,6,5.0399,4,26.04,False
100,4i,150.0,9,4.4048,5,45.8,False
105,1i,150.0,8,1.044,7,12.0,False
105,2i,150.0,10,4.356,7,11.13,False
105,3i,150.0,6,5.4868,4,26.04,False
105,4i,150.0,8,5.8771,5,45.8,False
110,1i,150.0,10,2.3754,8,12.0,False
110,2i,150.0,10,0.9823,8,11.13,False
110,3i,150.0,6,3.5108,4,26.04,False
110,4i,150.0,7,1.7171,5,45.8,False
115,1i,150.0,12,4.6441,8,12.0,False
115,2i,150.0,12,3.9909,10,18.13,False
115,3i,150.0,8,6.6532,5,33.05,False
115,4i,150.0,7,2.0638,6,52.8,False
120,1i,150.0,13,3.4638,8,12.0,False
120,2i,150.0,13,3.2201,10,18.13,False
120,3i,150.0,8,5.1865,5,33.05,False
120,4i,150.0,9,4.9793,6,52.8,False
125,1i,150.0,13,0.4929,10,19.0,False
125,2i,150.0,13,1.0186,11,18.13,False
125,3i,150.0,6,1.258,4,40.09,False
125,4i,150.0,8,2.2,5,52.8,False
130,1i,150.0,15,2.595,13,33.05,False
130,2i,150.0,14,1.8277,12,18.13,False
130,3i,150.0,8,6.1129,2,1.0,False
130,4i,150.0,9,5.7772,2,1.0,False
135,1i,150.0,16,1.8207,13,33.05,False
135,2i,150.0,16,2.3283,13,22.15,False
135,3i,150.0,9,4.5754,5,22.05,False
