timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
0,1i,0,,,
0,2i,0,,,
0,3i,0,,,
0,4i,0,,,
5,1i,2,27.0433,373.25,377.09
5,2i,0,,,
5,3i,1,23.6298,386.12,386.12
5,4i,2,21.7283,381.74,398.75
10,1i,2,26.8255,239.16,242.71
10,2i,0,,,
10,3i,1,23.3913,267.92,267.92
10,4i,2,20.8712,262.12,306.62
15,1i,2,25.1352,107.21,110.6
15,2i,0,,,
15,3i,1,23.6767,145.96,145.96
15,4i,2,21.5663,140.87,211.39
20,1i,2,12.1744,18.81,20.65
20,2i,1,26.3132,375.29,375.29
20,3i,2,21.6445,41.05,376.37
20,4i,3,18.1326,35.47,399.03
25,1i,2,0.0,1.0,1.0
25,2i,1,27.3632,240.36,240.36
25,3i,1,26.9602,240.2,240.2
25,4i,2,16.7073,34.33,304.72
30,1i,2,0.0,1.0,1.0
30,2i,1,24.8991,106.09,106.09
30,3i,2,25.4522,108.58,483.3
30,4i,2,9.6242,1.0,210.03
35,1i,2,0.0,1.0,1.0
35,2i,1,10.9501,23.5,23.5
35,3i,2,18.3842,22.89,361.58
35,4i,2,9.4863,1.0,115.42
40,1i,2,0.0,1.0,1.0
40,2i,1,0.409,5.03,5.03
40,3i,1,23.9787,239.36,239.36
40,4i,2,7.2531,1.0,29.03
45,1i,2,0.0,1.0,1.0
45,2i,3,18.0157,5.0,483.3
45,3i,1,25.1165,115.65,115.65
45,4i,2,0.0,1.0,1.0
50,1i,0,,,
50,2i,3,17.7769,5.0,349.45
50,3i,1,11.9415,29.41,29.41
50,4i,2,0.0,1.0,1.0
55,1i,0,,,
55,2i,3,17.5208,5.0,216.6
55,3i,1,0.2893,8.27,8.27
55,4i,2,0.0,1.0,1.0
60,1i,0,,,
60,2i,3,12.6022,5.0,89.52
60,3i,2,9.6829,8.0,453.89
60,4i,3,6.3956,1.0,454.07
65,1i,0,,,
65,2i,2,5.7309,5.0,10.03
65,3i,2,9.5566,8.0,358.4
65,4i,3,6.3672,1.0,358.09
70,1i,0,,,
70,2i,1,0.0,5.0,5.0
70,3i,2,9.5073,8.0,262.44
70,4i,3,6.3535,1.0,262.38
75,1i,1,27.6603,427.96,427.96
75,2i,1,0.0,5.0,5.0
75,3i,3,13.9424,8.0,430.59
75,4i,4,10.1716,1.0,431.37
80,1i,1,27.3633,293.57,293.57
80,2i,0,,,
80,3i,3,12.2095,8.0,309.36
80,4i,4,8.9617,1.0,311.99
85,1i,1,27.6622,157.31,157.31
85,2i,1,27.77,483.3,483.3
85,3i,3,10.8154,8.0,187.97
85,4i,5,11.8912,1.0,483.3
90,1i,2,17.2522,52.42,435.31
90,2i,1,26.9139,348.27,348.27
90,3i,4,9.7774,8.0,437.63
90,4i,6,11.921,1.0,429.3
95,1i,2,11.6771,6.35,338.89
95,2i,1,27.5939,213.56,213.56
95,3i,3,8.2245,12.04,344.51
95,4i,5,11.6172,1.0,294.91
100,1i,3,14.2261,5.0,456.69
100,2i,1,21.0356,88.69,88.69
100,3i,3,8.5668,8.93,251.33
100,4i,6,11.5785,1.0,456.16
105,1i,3,13.436,5.0,336.17
105,2i,1,8.7783,20.01,20.01
105,3i,3,14.4928,12.0,407.78
105,4i,6,8.8453,1.0,322.68
110,1i,3,12.1737,5.0,215.56
110,2i,1,0.0079,9.0,9.0
110,3i,3,13.6007,12.0,287.7
110,4i,5,5.684,1.0,187.05
115,1i,3,8.4185,5.0,107.77
115,2i,2,9.6807,9.0,434.99
115,3i,3,11.1717,2.48,168.91
115,4i,5,2.8893,1.0,87.02
120,1i,3,4.6541,5.0,33.56
120,2i,2,9.4248,9.0,339.5
120,3i,2,9.2246,12.0,64.29
120,4i,6,6.148,1.0,376.81
125,1i,3,0.0459,5.0,19.0
125,2i,2,9.4312,9.0,244.61
125,3i,2,3.5886,4.94,11.3
125,4i,5,5.2734,1.02,242.47
130,1i,3,0.0,5.0,19.0
130,2i,2,7.9877,9.0,156.86
130,3i,3,9.1541,1.0,403.52
130,4i,5,5.5623,1.0,126.53
135,1i,4,4.6219,5.0,400.0
135,2i,2,5.8362,9.0,90.09
135,3i,3,8.9481,1.0,270.02
135,4i,7,7.7246,1.0,398.27
140,1i,3,7.3171,8.54,305.13
140,2i,2,6.1662,0.55,45.23
140,3i,3,7.45,1.0,143.35
140,4i,7,6.1448,1.0,304.89
145,1i,2,9.42,19.0,211.59
145,2i,2,16.5952,10.35,480.3
145,3i,3,5.2449,1.0,55.26
145,4i,7,5.8611,1.0,209.84
150,1i,2,7.7338,19.0,123.55
